date,daily_sentiment
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.8625
2020-12-14,0.0
2020-12-15,0.4215
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.31845
2020-12-24,0.0
2020-12-28,0.0
2020-12-29,0.4404
2020-12-30,0.0
2020-12-31,0.6597
