date,actual,forecast,ticker,model,horizon
2020-11-02,202.3300018310547,202.922800778181,MSFT,arima,7
2020-11-03,206.42999267578125,202.9773673125758,MSFT,arima,7
2020-11-04,216.38999938964844,202.98394308462923,MSFT,arima,7
2020-11-05,223.2899932861328,202.98473552597773,MSFT,arima,7
2020-11-06,223.72000122070312,202.98483102248912,MSFT,arima,7
2020-11-09,218.38999938964844,202.98484253070194,MSFT,arima,7
2020-11-10,211.009994506836,202.984843917548,MSFT,arima,7
