forecast_made_on,day_ahead,actual,forecast,ticker,model,horizon
2020-01-09,1,135.77999877929688,137.83777,TSLA,lstm,3
2020-01-09,2,135.77999877929688,138.283,TSLA,lstm,3
2020-01-09,3,135.77999877929688,138.14552,TSLA,lstm,3
2020-01-09,1,135.77999877929688,137.73816,TSLA,lstm,3
2020-01-09,2,135.77999877929688,138.15115,TSLA,lstm,3
2020-01-09,3,135.77999877929688,138.03215,TSLA,lstm,3
2020-01-09,1,135.77999877929688,137.6439,TSLA,lstm,3
2020-01-09,2,135.77999877929688,138.02863,TSLA,lstm,3
2020-01-09,3,135.77999877929688,137.92456,TSLA,lstm,3
2020-01-09,1,135.77999877929688,137.56778,TSLA,lstm,3
2020-01-09,2,135.77999877929688,137.92897,TSLA,lstm,3
2020-01-09,3,135.77999877929688,137.83527,TSLA,lstm,3
